course,Skills_Text
"Speak English Professionally: In Person, Online & On the Phone",c
Vital Signs: Understanding What the Body Is Telling Us,
Visualizing the Living Body: Diagnostic Imaging,r
TOEFL Preparation,r
Equine Welfare and Management,r
Understanding Einstein: The Special Theory of Relativity,"c, r"
Design of Experiments,"c, r"
Analyze Datasets and Train ML Models using AutoML,"c, r"
Introduction to Computer Vision and Image Processing,"c, computer vision, data science, deep learning, machine learning, neural networks, python, r"
Auditing I: Conceptual Foundations of Auditing,"c, r"
European Business Law,"c, r"
International Business Essentials,"c, r"
Introduction to Machine Learning,"c, deep learning, machine learning, neural networks, python, r"
Write Your First Novel,r
Supply Chain Logistics,"c, r"
Business Sustainability in the Circular Economy,r
.NET FullStack Developer,"c, java, javascript, r"
Essentials in Clinical Simulations Across the Health Professions,r
English for Business and Entrepreneurship,"c, r"
Health Behavior Change: From Evidence to Action,r
Introduction to Web Development,"c, css, html, java, javascript, r, web development"
Data Science with Databricks for Data Analysts,"c, data science, feature engineering, machine learning, python, r, sql"
Linear Algebra from Elementary to Advanced,"c, r"
Memoir and Personal Essay: Write About Yourself,r
Using Python to Access Web Data,"c, css, html, python, r, web development"
Tableau Public for Project Management and Beyond,
Innovation Management,"c, r"
Managing the Company of the Future,r
Learn Chinese: HSK Test Preparation,"c, r"
Foundations of Public Health Practice,"c, r"
Marketing digital e e-commerce do Google,"c, r"
Developing Your Musicianship,r
Dino 101: Dinosaur Paleobiology,r
What is Compliance?,"c, r"
AI Strategy and Governance,"c, machine learning, r"
AI Applications in People Management,"c, machine learning, r"
Rust Fundamentals,r
Interaction Design,"c, r"
Arts and Heritage Management,"c, r"
"Extract, Transform and Load Data in Power BI","c, power bi, r"
Semiconductor Devices,r
Introduction to Responsible AI,r
An Introduction to Accessibility and Inclusive Design,"c, r"
ASP.NET for Experienced Developers,"c, r"
Uncommon Sense Teaching,r
"Introduction to Financial Analysis - The ""Why?""","c, r"
Statistics with Python,"c, data visualization, python, r"
Financial Reporting,"c, r"
Circular Economy - Sustainable Materials Management,"c, r"
Troubles du spectre de l'autisme : diagnostic,r
Digital Health,r
Foundations of Teaching for Learning: Curriculum,
Machine Learning,"c, machine learning, python, r"
Chinese for Beginners,c
Security and Privacy for Big Data - Part 2,"c, r"
An Introduction to American Law,r
Essentials of Global Health,r
Developing Front-End Apps with React,"c, java, javascript, r, web development"
Learning for a Sustainable Future,"c, r"
IBM Data Science,
Digital Marketing Strategy and Planning,"c, git, r"
Reign of Pain,"c, r"
Curanderismo: Traditional Healing Using Plants,r
Whole genome sequencing of bacterial genomes - tools and applications,"c, r"
Object Oriented Java Programming: Data Structures and Beyond,"c, java, r, software engineering"
Python Classes and Inheritance,"c, python, r"
Astronomy: Exploring Time and Space,r
Microsoft Azure Security Engineer Associate (AZ-500),r
Marine Biology,r
Inclusive Leadership: The Power of Workplace Diversity,"c, r"
Qualitative Research Design and Methods for Public Health,
Suicide Prevention,r
Regression Analysis: Simplify Complex Data Relationships,"c, python, r"
Understanding child development: from synapse to society,"c, r"
Narrative Economics,r
Digital Transformation in Financial Services,"c, r"
Data Literacy,"c, data visualization, r"
Building AI Powered Chatbots Without Programming,"c, cloud computing, machine learning, r"
From Data to Insights with Google Cloud,"c, cloud computing, data visualization, databases, machine learning, r, sql"
Patient Safety,"c, r"
Microeconomics Principles,"c, r"
Introducción a la programación en Python I: Aprendiendo a programar con Python,"c, python, r"
Introduction to Google SEO,"c, git, r, web development"
Diversity and Inclusion in Education,r
Introduction to Good Clinical Practice,r
Microsoft Power Platform Fundamentals,"c, data visualization, power bi, r"
Introduction to Technical Support,"c, r"
Immunology: The Immune System and its Failures,r
Trading Strategies in Emerging Markets,"c, r"
IBM Data Analyst,
Deep Neural Networks with PyTorch,"c, deep learning, machine learning, neural networks, python, r"
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,"c, cloud computing, databases, machine learning, r, sql, tensorflow"
"Data Engineering, Big Data and ML on Google Cloud 日本語版","c, cloud computing, databases, machine learning, r, sql, tensorflow"
Executive Data Science,"c, machine learning, r"
Social Work Practice: Advocating Social Justice and Change,c
Accounting: Principles of Financial Accounting,c
Sales Training for High Performing Teams,"c, r"
Natural Language Processing with Sequence Models,"c, deep learning, machine learning, neural networks, python, r"
Google IT Support (Deutsch),"c, cloud computing, linux, r"
Solar Energy Basics,r
Effective Programming in Scala,"c, r, scala"
Administración de Empresas,"c, r"
Getting Started with AI using IBM Watson,"c, cloud computing, deep learning, machine learning, neural networks, r"
Introduction to Sustainability,r
"FinTech: Foundations, Payments, and Regulations","c, r"
Desarrollador front-end de Meta,r
Data Visualization & Dashboarding with R,"c, data visualization, r"
Mindfulness and Well-being,c
Marketing with TikTok,"c, git, r"
Business Model Innovation,"c, r"
Gestion de projet de Google,"c, c++, r"
Introduction to Hardware and Operating Systems,"c, r"
Addiction Treatment: Clinical Skills for Healthcare Providers,r
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,r
Data Science Math Skills,"c, r"
Introduction to Engineering Mechanics,r
Precision Medicine,r
Arm Cortex-M Architecture and Software Development,r
Biology Meets Programming: Bioinformatics for Beginners,"c, r"
The Arts and Science of Relationships: Understanding Human Needs,c
Introduction to Operations Management,r
Generative AI: Introduction and Applications,r
Akamai Customer Consulting and Support,"c, r"
Akamai Network Engineering,"c, r"
Introduction to Scripting in Python,"c, data visualization, python, r"
Linear Circuits 1: DC Analysis,r
Computational Neuroscience,"c, machine learning, neural networks, python, r"
Introduction to Systems Engineering,r
Wine Tasting: Sensory Techniques for Wine Analysis,r
Battery Technologies,r
"Creativity, Innovation and Transformation","c, r"
Healthier Materials and Sustainable Building,r
Developing AI Applications with Python and Flask,"c, python, r"
"Python Project: pillow, tesseract, and opencv","c, python, r"
Android App Development,"c, java, r, software engineering"
Inspiring and Motivating Individuals,"c, r"
Weight Management: Beyond Balancing Calories,r
"Spark, Hadoop, and Snowflake for Data Engineering","python, r"
Everyday Parenting: The ABCs of Child Rearing,r
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,"c, r"
Financial Technology (Fintech) Innovations,"c, machine learning, r"
Data-driven Decision Making,"c, data visualization, r"
Write A Feature Length Screenplay For Film Or Television,r
Teach English Now! Foundational Principles,"c, r"
Introduction to Back-End Development,"c, css, html, r, web development"
Visual Elements of User Interface Design,"c, r, web development"
Medical Terminology and the Human Body Fundamentals,r
Generative AI for Everyone,"c, r"
Introduction to Microsoft Azure Cloud Services,"azure, c, cloud computing, databases, r"
Introduction to Logic and Critical Thinking,"c, r"
Foundations for Assisting in Home Care,r
Social Media Marketing,"c, git, r"
CAD and Digital Manufacturing,"c, feature engineering, r, software engineering"
"Federal Taxation I: Individuals, Employees, and Sole Proprietors","c, r"
Introduction to Medical Software,"c, r, software engineering"
"Everyday Excel, Part 1","c, data visualization, r"
User Interface Design,"c, r"
Strategy and Sustainability,"c, r"
C++ Programming for Unreal Game Development,"c, r"
"Sleep: Neurobiology, Medicine, and Society",r
Introduction to Financial Engineering and Risk Management,"c, r"
Clinical Terminology for International and U.S. Students,c
Financial Planning for Young Adults,"c, r"
English for Common Interactions in the Workplace: Basic Level,r
Finanzas corporativas,"c, r"
Understanding Basic SQL Syntax,sql
Introduction to Forensic Science,r
Software Development Lifecycle,"agile software development, c, r, software engineering"
Image Processing for Engineering and Science,"c, computer vision, data visualization, matlab, r"
Relationship Management and Business Development,"c, r"
Expressway to Data Science: Essential Math,"c, r"
React Basics,"c, java, javascript, r, web development"
Introduction to High-Performance and Parallel Computing,"c, linux, r"
FinTech: Finance Industry Transformation and Regulation,"c, r"
Learning and Development,r
Alexander Technique: Balanced Posture for Ease and Comfort,"c, r"
Introduction to Data Science in Python,"c, python, r"
Real-World Cloud Product Management,"c, cloud computing, r"
Kotlin for Java Developers,"c, r, software engineering"
Accounting Data Analytics,"c, data visualization, databases, machine learning, python, r, sql"
Claves de la Dirección de Empresas,"c, r"
Analysing: Numeric and digital literacies,"c, data visualization, git, r, tableau"
Initiating and Planning Projects,"c, r"
Fundamentals of Social Media Advertising,"c, git, r"
Health Information Literacy for Data Analytics,"c, databases, r"
Water Cooperation and Diplomacy,
Big Data,"c, cloud computing, data visualization, databases, machine learning, r, sql"
Ethical Leadership,"c, r"
Mastering Final Cut Pro,"c, r"
Finance for Non-Financial Managers,"c, r"
Refugees in the 21st Century,r
Operations Analytics,"c, r"
Introduction to Scrum Master Training,"agile software development, c, r, software engineering"
Foundations of Teaching for Learning: Introduction,r
Improving Leadership & Governance in Nonprofit Organizations,"c, r"
Dirección y Gestión de Negocios,"c, r"
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,"c, r"
Cybersecurity Compliance Framework & System Administration,"c, linux, r"
Foundations of Global Health,"c, r"
Building No-Code Apps with AppSheet,"c, databases, r"
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,"c, r"
Data Modeling in Power BI,"power bi, r"
The Nuts and Bolts of Machine Learning,"c, machine learning, python, r"
Coding for Beginners: An Easy Introduction,"c, python, r"
Children's Human Rights - An Interdisciplinary Introduction,r
Цифровий маркетинг і електронна комерція від Google,"c, git, r, web development"
Data Science: Statistics and Machine Learning,"c, data visualization, machine learning, r, web development"
Foundations of Data Science: K-Means Clustering in Python,"c, data visualization, machine learning, python, r"
Conflict Management,"c, r"
Politics and Economics of International Energy,r
"Penetration Testing, Incident Response and Forensics","c, python, r"
English Composition I,r
Data Warehousing for Business Intelligence,"c, data visualization, databases, r, sql"
Algorithmic Toolbox,"c, r"
Gender Analytics: Gender Equity through Inclusive Design,"c, r"
ChatGPT for Beginners: Save time with Microsoft Excel,"c, r"
Blood Film Morphology - A Practical Guide,r
Flores Master of Business Administration,r
Managerial Economics and Business Analysis,"c, r"
Python for Cybersecurity,"c, python, r"
Introduction to Systems Engineering,r
People Analytics,"c, r"
Foundations of Business Strategy,r
Science of Diet and Exercise,r
Learn English: Advanced Grammar and Punctuation,r
"Introduction to Containers w/ Docker, Kubernetes & OpenShift","c, cloud computing, docker, kubernetes, r"
Epidemiology for Public Health,"c, r"
Machine Learning for All,"c, deep learning, machine learning, neural networks, r"
Probability Theory: Foundation for Data Science,"c, r"
Medical Billing and Coding Essentials,r
Evaluations of AI Applications in Healthcare,r
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),"c, r"
Introduction to Genetics and Evolution,r
Cyber Security Fundamentals,"c, r"
Introduction to Git and GitHub,"c, python, r"
Diversity and Inclusion for HR Professionals,"c, r"
AI Foundations: Prompt Engineering with ChatGPT,r
Global Diplomacy: the United Nations in the World,r
Advertising with Meta,"c, git, r"
Rédaction de contrats,r
Introduction to Cybersecurity & Risk Management,r
Business Models For Sustainability,r
FinTech Law and Policy,"c, r"
Drug Discovery,r
Introduction to Logic,"c, r"
Financing and Investing in Infrastructure,"c, r"
EDIVET: Do you have what it takes to be a veterinarian?,r
SAS Advanced Programmer,"c, databases, r, sql"
Schizophrenia,r
Negotiations,r
Google Data Analytics,
Google Cybersecurity,
"Innovation Through Design: Think, Make, Break, Repeat","c, r"
Introduction to Public Speaking,"c, r"
The Social Context of Mental Health and Illness,c
Blockchain Revolution in Financial Services,"c, r"
Diversité et inclusion sur le lieu de travail,"c, r"
Introduction to Industrial Bioprocess Development,r
Creative Writing: The Craft of Plot,r
Foundations of Software Testing and Validation,r
Responsive Website Development and Design,"c, css, databases, html, java, javascript, r, web development"
High Stakes Leadership: Leading in Times of Crisis,"c, r"
Web3 and Blockchain in Global Commerce,"c, r"
Building Scalable Java Microservices with Spring Boot and Spring Cloud,"c, cloud computing, java, kubernetes, r"
Positive Psychology,r
GenAI for Everyone,"c, r"
Excel Fundamentals for Data Analysis,"c, r"
Formal Financial Accounting,"c, r"
Cost and Economics in Pricing Strategy,"c, r"
Essentials of Management and Strategic Planning,"c, r"
English for Journalism,r
Professional Selling: 3 Steps to High-Performance,r
Global Energy and Climate Policy,r
Marketing Digital,"c, git, r"
Fundamentals of Technology Sales,"c, r"
Aboriginal Worldviews and Education,"c, r"
Entrepreneurship Strategy: From Ideation to Exit,"c, r"
The hidden value – Lean in manufacturing and services,"c, r"
Spreadsheets for Beginners using Google Sheets,"c, r"
AI and Climate Change,"c, computer vision, r"
Google Project Management:,
Finanzas personales,"c, r"
Social and Economic Networks:  Models and Analysis,"c, r"
Business and Marketing Strategies,"c, r"
Interviewing and Resume Writing in English,"c, r"
Strategic Sales Management,"c, r"
Essentials of Corporate Finance,"c, r"
Innovation: From Creativity to Entrepreneurship,"c, r"
Excel for Beginners: Pivot Tables,"c, r"
Bachelor of Arts in Psychology,
Magíster en Salud Pública Global,
Maestría en Inteligencia Artificial,
Maestría en Ingeniería de Software,"c, css, html, python, r, software engineering, web development"
Master of Information Technology,
"Analítica de datos: visualización, predicción y toma de decisiones",
Introducción a la Inteligencia Artificial,
Administración de Empresas Certificado MasterTrack®,r
Principios de ingeniería de software automatizada y ágil Programa de Certificado MasterTrack®,"c, css, html, python, r, software engineering, web development"
Certificado en Gestión de Inversiones,
Sustainability and Development MasterTrack® Certificate,
Certificado en Bases de la Salud Pública,
Supply Chain Excellence MasterTrack® Certificate,
Metodologías ágiles de desarrollo de software Programa de Certificado MasterTrack®,"c, r"
Certificado en Toma de Decisiones Basadas en Datos,sql
Certificado en Finanzas Corporativas,
Certificado en Gestión y Políticas en Salud Pública,
Instructional Design MasterTrack® Certificate,"c, r"
Construction Engineering and Management MasterTrack® Certificate,"c, r"
Certificado en Introducción a la Ciencia de Datos,"c, machine learning, python, r"
Social Work MasterTrack® Certificate,"c, r"
Certificado en Modelos Analíticos para la Toma de Decisiones de Negocio,
Master of Computer and Information Technology,"c, databases, python, r"
Bachelor in Information Technology,
Master of Science in Cyber Security,
Master of Science in Construction Management,
Maestría en Inteligencia Analítica de Datos,"c, python, r"
Master of Science in Machine Learning and Data Science,
Post Graduate Diploma in Management Online,
Magíster en Inversiones y Finanzas Aplicadas,
Master of Arts in Education - Educational Technology,
Bachelor of Applied Arts and Sciences,"c, r"
Master of Public Health,
Maestría en Dirección de Empresas (MBA),r
Bachelor of Science in Business Administration,
MS in Management: Healthcare,"c, r"
Master of Engineering in Computer Engineering,
Master of Science in Management,"c, data visualization, databases, git, machine learning, python, r, sql"
Executive MBA,"c, cloud computing, r"
Master of Arts in Education - Higher Education Administration,
Bachelor of Science in General Business,"c, r"
Master of Science in Information Systems,
Master of Computer Science (feat. Data Science Track),
Master of Science in Data Science,"agile software development, c, cloud computing, computer vision, data science, data visualization, databases, deep learning, linux, machine learning, python, r, software engineering, sql"
Postgraduate Diploma in Applied Statistics,"c, r"
Master of Science in Analytics,
Master of Science in Computer Science,"agile software development, c, cloud computing, computer vision, data science, data visualization, databases, deep learning, linux, machine learning, python, r, software engineering, sql"
Master of Engineering in Engineering Management,"agile software development, c, cloud computing, computer vision, data science, data visualization, databases, deep learning, linux, machine learning, python, r, software engineering, sql"
MBA Business Analytics,"c, machine learning, r, tensorflow"
Master of Science in Software Engineering,"c, r"
Master of Science in Data Science,
Master of Business Administration,
Executive MSc & MSc in Innovation and Entrepreneurship,"c, r"
Bachelor of Arts in Liberal Studies,
Bachelor of Science in Computer Science,"c, r"
Magíster en Ciencia de Datos,"c, machine learning, python, r, sql"
Master of Science in Data Science (Statistics),
Master of Applied Data Science,"c, data visualization, databases, machine learning, python, r, sql"
Bachelor of Science in Computer Science,"c, css, html, java, javascript, r"
Bachelor of Science in Cybersecurity Technology,
Master of Science in Accounting,"c, data visualization, databases, git, machine learning, python, r, sql"
Bachelor of Science in Marketing,
Master of Science in Computer Science,
Master of Science in Civil Engineering,
M.A. Public Policy,"c, r"
Master of Science in Electrical Engineering,"agile software development, c, cloud computing, computer vision, data science, data visualization, databases, deep learning, linux, machine learning, python, r, software engineering, sql"
Magíster en Business Analytics,"c, python, r, sql"
Master of Data Science,
Bachelor of Science in Data Science & AI,
Master of Business Administration (iMBA),"c, data visualization, databases, git, machine learning, python, r, sql"
Postgraduate Certificate of Public Health,
Global Master of Public Health,"c, r"
Master of Science in Data Analytics Engineering,
Bachelor of Science in Cybersecurity Management and Policy,
Master of Science in Leadership and Human Resource Development,
Master of Advanced Study in Engineering,
"M.A. in International Relations, Security, and Strategy","c, r"
Flores Master of Business Administration,
Maestría en Gerencia de la Ingeniería,
Graduate Certificate in Taxation,"c, data visualization, git, machine learning, r"
Post Graduate Certificate in Digital Manufacturing,"c, r"
Graduate Certificate in Accounting Data Analytics,"c, data visualization, databases, git, machine learning, python, r, sql"
Engineering Management Graduate Certificate,"agile software development, c, r"
Post Graduate Certificate in Deep Learning for Computer Vision & Extended Reality (XR),
Post Graduate Certificate in Data Science & Machine Learning,"c, data science, machine learning, python, r"
Certificate in Strategic Leadership,r
Digital Transformation Certificate,
Leading Innovation With Creativity University Certificate,"c, r"
CPA Pathways Graduate Certificate,"c, data visualization, databases, git, machine learning, python, r, sql"
Graduate Diploma in Computer Science,"c, css, html, java, javascript, r"
Post Graduate Certificate in UX Design and HCI,"c, r"
Power Electronics Graduate Certificate,
Post Graduate Certificate in Robotics and Mechatronics,
Data Science Graduate Certificate,"c, data science, deep learning, machine learning, python, r"
Trust Based Leadership University Certificate,
Managerial Economics & Business Analysis Graduate Certificate,"c, r"
Semiconductor Photonics Graduate Certificate,r
Post Graduate Certificate in Natural Language Processing,
Innovation Management and Entrepreneurship University Certificate,"c, r"
Graduate Certificate in Digital Marketing,"c, data visualization, databases, git, machine learning, python, r, sql"
Financial Management Graduate Certificate,"c, data visualization, git, machine learning, r"
Digital Transformation Certificate,c
Post Graduate Certificate in 5G Technology and IoT,"c, python, r, software engineering"
Graduate Certificate in Computer Science,"c, css, html, java, javascript, r"
Value Chain Management Graduate Certificate,"c, data visualization, git, machine learning, r"
Industrial Internet of Things Graduate Certificate,"c, cloud computing, machine learning, r, software engineering"
Global Challenges in Business Graduate Certificate,"c, r"
Graduate Certificate in Strategic Leadership & Management,"c, data visualization, databases, git, machine learning, python, r, sql"
Post Graduate Certificate in Machine Learning for Finance,"c, machine learning, python, r"
Accounting Foundations Graduate Certificate,"c, data visualization, databases, git, machine learning, python, r, sql"
Post Graduate Certificate in Advanced Machine Learning & AI,
Post Graduate Certificate in Cloud Computing Applications,
Business Essentials University Certificate,"c, r"
Post Graduate Certificate in Strategic Supply Chain Management with AI,"c, machine learning, python, r"
Power Electronics and Motors for Electric Vehicles (EVs) Certificate,
Entrepreneurship and Strategic Innovation Graduate Certificate,"c, r"
